asin,battery,camera,storage
B07GVNHQV4,0.138888889,1,#
B07GY16KMK,#,#,#
B07GYK8MBD,0.247222222,0.055,#
B07H41NB46,0.223004545,0.382396049,0.345238095
B07H6V8TB9,0.118211186,0.259054377,0.462916667
B07H7SBBWQ,0.2588125,0.209069651,0.5
B07H8Q3C9T,0.082725191,-0.3,-0.395
B07H8QMZWV,0.263311688,#,#
B07H8SBLBC,0.120454075,0.277217112,0.1
B07HC3CSMR,#,#,#
B07HC74RMG,#,#,#
B07HD3QC65,0.135784878,0.244842013,0.130061059
B07HFKWDK7,0.179038462,0.288431595,0.6
B07HHRF89L,-0.2625,0.261666667,#
B07HK4JNV1,0.282421969,0.31251256,0.154814815
B07HKPMFZ5,0.175816267,0.367742965,#
B07HKQ61NV,0.166666667,#,#
B07HKQJ6H1,0.101777313,0.446599617,0.375
B07HMC84L1,#,#,#
B07HXHPNKH,0,#,-0.055555556
B07J2Q68N4,0.264960317,0.5,#
B07J4YLV46,0.064488636,0,#
B07J4Z9647,0.364216861,0.324016473,0.243102679
B07J5VTRX6,0.353333333,0.603333333,#
B07JB4W3L6,#,#,#
B07JLF13KV,#,#,#
B07JMPGNHK,0.260813914,0.395605496,0.619444444
B07JQXJ3JK,#,#,#
B07JVDQP47,0.159733142,0.311545729,#
B07JZRFHTP,0.226666667,#,#
B07JZRL7N5,0.257435065,0.525,#
B07K1M36CM,0.298742024,0.36865871,-0.096428571
B07K2FZYKV,0.292833333,0.409722222,#
B07K4TRTDV,#,#,#
B07K4V3364,0.055461493,0.364102564,#
B07K64PTLP,0.319444444,0.55,#
B07K76LBLZ,0.314350926,0.45497076,0.211111111
B07KFNRQ5S,0.164445004,0.176826173,0.573085017
B07KJHCQCV,0.11875,0.13,#
B07KJM21TB,0.321176046,#,#
B07KKL5KGG,0.135529866,0.218619083,0.255
B07KX1L519,0.180595464,0.431432064,#
B07L543G3M,0.080355052,0.133531746,0.073809524
B07L5T18L5,-0.1,#,#
B07L6RCH5W,#,-0.066319444,#
B07L78G3D2,0.288888889,#,#
B07LBPP4J9,0.264295635,0.328125,0
B07M94R4GF,0.156666667,0.713888889,#
B07MGKGHGP,0.113961039,0.144047619,#
B07MN8QTK1,0.233517964,0.318282086,0.229482323
B07MNZWW37,#,#,#
B07MZ2TRTC,0.179008049,0.209552721,0.382142857
B07N11SM58,0.282785617,0.150976113,0.250925926
B07N4M412B,0.211168623,0.296300482,0.209090909
B07N6MRRKH,0,#,#
B07N6N7JP3,0.281804737,0.370006256,0.7
B07N7SC1HK,#,0.097222222,#
B07NC3N3Z8,0.5,#,#
B07ND4ZN2X,#,0.515625,#
B07NGDHMKL,0.125,0.559690476,#
B07NLHLC88,-0.15,0.55,#
B07NLMCDN4,#,#,#
B07NP2Y82Q,0.196032563,0.248513598,0.2
B07NP6R2RG,0.1976792,0.292668651,0.266666667
B07NQNK5F4,#,#,#
B07NQR37VR,#,#,#
B07NRCRFVJ,#,#,#
B07NVWSTHP,#,#,#
B07NWKP41X,-0.007166667,0.287098765,0.156458333
B07NWM7V9M,0.45,0.7,#
B07NY3D1NM,#,#,#
B07NZVM3RN,0.18303961,0.420572391,0.388888889
B07NZX5BKH,0.380360326,0.297476302,#
B07NZXXZB2,0.192795354,0.356331845,0.7
B07P6RLBT7,#,#,#
B07P6Y8L3F,0.023510101,#,#
B07PB3WV54,0.27628355,0.200091827,#
B07PB5BXMZ,#,#,#
B07PB77Z4J,0.27628355,0.200091827,#
B07PHFW8LV,0.425,0.175,#
B07PHQ7FBP,0.076231762,0.260725757,0.159296296
B07PKVLDHP,0.66,-0.35,0
B07PQSYGKB,0.130516234,0.281666667,-0.191666667
B07PRSPD3Q,0.221041667,0.264,#
B07PV7LN4X,0.284757734,0.319231908,0.299583333
B07PXV5GXJ,0.1925,0.40625,#
B07PY52GVP,0.237174689,0.389569722,0.401041667
B07PZZLR4D,0.35,#,0.507142857
B07Q26V49K,0.254144122,0.37035359,0.269305556
B07Q2WPMNB,0.046904762,0.303460735,0.8
B07Q2X19LG,0.261590615,0.408071759,0.408333333
B07Q3T41M4,0.625833333,0.775833333,0
B07Q6VQ147,0.092857143,#,#
B07Q6ZNJNT,0.4524178,0.479387755,0.147222222
B07Q6ZZ4S1,0.220310343,0.326457652,0.323741497
B07Q84DPZH,0.155368606,0.342144213,0.334511785
B07Q88NYCW,0.001215278,0.85,0
B07Q8BY2Q8,0.1125,0.1125,#
B07QB8QYYZ,0.252857143,0.422209201,#
B07QBJZ34C,-0.104166667,0,#
B07QC4R451,0.102083333,0.4325,#
B07QCCW5KB,0.343575176,0.389618764,0.2
B07QCQ9JRH,0.053611111,0.28125,#
B07QCXPP71,0.187619048,0.717857143,#
B07QD67Z1Y,#,0.441666667,0.214285714
B07QFS3L4G,0.190235615,0.509583333,#
B07QJ7S66P,0.245833333,0.122916667,#
B07QK32C8M,0.261372331,0.308105633,0.288378685
B07QKPPM6X,#,#,#
B07QP7WZ1T,0.124051087,0.062094156,0.563333333
B07QP9R469,0.347031746,0.308333333,#
B07QP9ZMQH,0,#,#
B07QPTGJP5,0.154624304,0.354861111,#
B07QQYHSR5,0.275445311,0.381187314,0.179017857
B07QTLB1D9,0.134434524,0.146320988,#
B07QWNFKFF,0.22,0.258333333,#
B07QY39QBP,#,#,#
B07QZH7KB9,#,0.166666667,#
B07R4PP7FF,0.082587783,0.459166667,0.678333333
B07R57VRJ7,0.8,#,#
B07R5ZYR77,0.277476852,0.517166667,0.5075
B07RDMLR4V,0.164445004,0.176826173,0.573085017
B07RJZH9N2,0.32,0.727777778,#
B07RKYQSRB,0.34375,0.1859375,#
B07RL93F7T,0.15,0.79,#
B07RT1X4FJ,0.135529866,0.218619083,0.255
B07RWFC6NY,0.249648402,0.307670608,0.156108277
B07S41W46Y,0.1625,0.360714286,#
B07S95SLP6,#,#,#
B07SB1S9TL,0.473958333,0.125741793,#
B07SBJPYLW,0.334537062,0.319385878,0.5
B07SCJNSRT,0.120775463,0.416666667,#
B07SD888PR,#,0.7,#
B07SMBJX7X,#,#,#
B07SQB46KY,0.05,#,#
B07SRD34FJ,#,#,#
B07SRD6SVX,0.05,#,#
B07SSCV7SS,#,#,#
B07STDQDKF,0.357284382,#,#
B07STFZQ9Y,0.357284382,#,#
B07SVFGKCJ,-0.107142857,#,#
B07SVFJ3P5,#,#,#
B07SVPKTYK,#,#,#
B07SWFLKYW,0.158333333,0.333333333,#
B07T7MM64L,0.290102071,0.258617312,0.523863636
B07T9G946J,#,#,#
B07TB7DJ2J,0.286666667,#,#
B07TDC7BKR,0.096765741,0.296153846,#
B07TDMZ849,#,#,#
B07TDNCVW2,#,#,#
B07TKQ8QYW,#,#,#
B07TYW7CSS,0.066666667,0.4,#
B07V3TL48P,0.069316017,0.13703168,1
B07V5NSD8N,#,0.378602431,#
B07VB9MMMW,0.276945857,0.325737764,0.125
B07VD3JH2C,0.276945857,0.325737764,0.125
B07VFPMT2Q,0.120833333,0,#
B07VGTHTGN,#,#,#
B07VGTS8MJ,#,0.525,#
B07VHRFGV2,#,0.2,#
B07VPMYXST,0.253174603,0.31237975,0.078935185
B07VPXDV59,0.288401876,0.47271645,0.073373016
B07VZL1W7K,0.308582251,0.330610722,0.411166667
B07VZL3L5V,0.310330949,0.329123281,0.16
B07W14HFQP,0.142108586,0.275074405,0.75
B07W166JW7,#,#,#
B07WCCNV2D,#,#,#
B07WJJFKYW,0.199373016,0.332998512,#
B07WKSVF6X,-0.025,#,0.2
B07WNSK9C1,#,#,#
B07WSXH2W2,0.095555556,0.087380952,#
B07WVRJQ7V,0.125189394,0.333333333,0.196590909
B07WW25BSV,0.253174603,0.31237975,0.078935185
B07WXKWDT2,0.3,0.4625,#
B07X5RRZFP,0.155333925,0.303968254,#
B07X5SHN81,0.215516234,0.165396825,#
B07X5VF1FM,0.409090909,0.333734568,#
B07XF928ZP,0.312745551,0.2748242,0.317380952
B07XJ5RSX3,#,#,#
B07XQJ33PL,0.183333333,0.146527778,#
B07XVMYN2N,0.195833333,0.09375,#
B07XVNDQMR,0.165151515,0.22447601,0
B07XVZXR5Y,0.046565934,0.204651321,0.174007937
B07XW28MHX,0.144739538,0.233249158,0.101709957
B07XZJG7V9,#,#,#
B07XZMGC3J,#,#,#
B07Y336C8S,0.6,#,#
B07Y4YJ98Z,0.288492063,0.465325397,0.141666667
B07Y8Q17N9,#,#,#
B07Y8XK9GC,0.292871557,0.328320453,0.5
B07Y8YWTFL,0.292871557,0.328320453,0.5
B07YBHNTSK,#,#,#
B07YBVZ2PW,#,-0.042592593,#
B07YF4PB4R,#,#,#
B07YJHXZT6,0.114857955,0.326285645,#
B07YMNLXL3,0.070518114,0.259748039,0.024695178
B07YN4TPDW,#,#,#
B07YQ58NPF,0.197608025,0.305587798,#
B07YSSGS7C,#,#,#
B07YVGVQKL,#,#,#
B07YZLRS3Z,0.114857955,0.326285645,#
B07YZS1PBD,0.063333333,#,#
B07YZS6QT3,0.264444444,0.45625,#
B07Z8BL2VW,0.282900433,0.147569444,0
B07ZDJCL76,0,0.573333333,#
B07ZG6W4S2,#,#,#
B07ZGHYFZ4,#,#,#
B07ZHPCJW3,0.102222222,0.591666667,#
B07ZP9ZWFM,#,#,#
B07ZPJBN55,#,#,#
B07ZPKBL9V,#,#,#
B07ZPKZSSC,#,#,#
B07ZQSGP53,#,0.5,#
B081H6STQQ,0.076231762,0.260725757,0.159296296
B081TJFVCJ,#,#,#
B0825BB7SG,#,#,#
